Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2005,19.20,19.20,18.40,18.75,19.049032258064516129,1550,8,29526.00,1550,100.00,0.80,-0.45
29-December-2005,19.00,19.00,18.25,18.35,18.606521739130434782,460,5,8559.00,460,100.00,0.75,-0.65
28-December-2005,17.60,19.20,17.60,18.50,18.434679334916864608,2105,13,38805.00,2105,100.00,1.60,0.90
27-December-2005,18.50,18.50,17.55,18.50,18.258236865538735529,1123,12,20504.00,1123,100.00,0.95,0.00
26-December-2005,17.75,18.25,17.70,18.25,17.849933598937583001,1506,12,26882.00,1506,100.00,0.55,0.50
23-December-2005,19.30,19.35,18.05,18.55,19.048080373161105130,5574,24,106174.00,5574,100.00,1.30,-0.75
22-December-2005,18.80,18.90,18.35,18.45,18.588811188811188811,715,6,13291.00,715,100.00,0.55,-0.35
21-December-2005,19.20,19.30,19.15,19.30,19.209393939393939393,3300,7,63391.00,3300,100.00,0.15,0.10
20-December-2005,19.00,19.75,19.00,19.75,19.541714285714285714,3500,10,68396.00,3500,100.00,0.75,0.75
19-December-2005,19.05,20.50,19.05,19.60,20.056537102473498233,7358,24,147576.00,7358,100.00,1.45,0.55
16-December-2005,20.00,20.85,19.90,19.95,20.221408450704225352,1775,8,35893.00,1775,100.00,0.95,-0.05
15-December-2005,20.55,21.00,20.00,20.05,20.263586475482386263,5649,31,114469.00,5649,100.00,1.00,-0.50
14-December-2005,21.05,21.85,20.55,20.85,21.169687500000000000,3200,13,67743.00,3200,100.00,1.30,-0.20
13-December-2005,21.60,22.25,21.50,21.55,21.932652497929892354,3623,19,79462.00,3623,100.00,0.75,-0.05
12-December-2005,21.95,22.35,21.15,21.20,21.516028955532574974,2901,24,62418.00,2901,100.00,1.20,-0.75
9-December-2005,21.50,22.45,20.85,21.90,21.900788436268068331,3044,28,66666.00,3044,100.00,1.60,0.40
8-December-2005,22.60,22.90,21.55,21.90,22.597286900182223122,9878,42,223216.00,9878,100.00,1.35,-0.70
7-December-2005,20.15,21.90,19.90,21.90,20.849075715370979994,23694,75,493998.00,23694,100.00,2.00,1.75
6-December-2005,20.40,20.90,19.30,20.90,20.408728784205057152,5774,38,117840.00,5774,100.00,1.60,0.50
5-December-2005,19.40,20.40,18.75,20.00,19.910129870129870129,3850,30,76654.00,3850,100.00,1.65,0.60
2-December-2005,19.40,19.45,19.35,19.45,19.442409923213230950,5079,24,98748.00,5079,100.00,0.10,0.05
1-December-2005,19.00,19.30,18.10,18.55,18.951432664756446991,6980,42,132281.00,6980,100.00,1.20,-0.45
30-November-2005,17.35,18.40,17.30,18.40,18.221019276472141536,3787,22,69003.00,3787,100.00,1.10,1.05
29-November-2005,18.65,18.65,17.30,17.55,17.512233009708737864,2575,13,45094.00,2575,100.00,1.35,-1.10
28-November-2005,17.45,18.00,17.45,17.90,17.842465753424657534,2920,18,52100.00,2920,100.00,0.55,0.45
26-November-2005,17.35,17.35,17.35,17.35,17.350000000000000000,200,2,3470.00,200,100.00,0.00,0.00
25-November-2005,17.55,17.85,17.55,17.85,17.668133802816901408,1136,10,20071.00,1136,100.00,0.30,0.30
24-November-2005,17.75,18.00,17.20,18.00,17.787668258792878853,2303,14,40965.00,2303,100.00,0.80,0.25
23-November-2005,17.65,17.65,17.00,17.60,17.014358499305233904,2159,14,36734.00,2159,100.00,0.65,-0.05
22-November-2005,17.10,17.80,17.00,17.00,17.078189300411522633,3645,18,62250.00,3645,100.00,0.80,-0.10
21-November-2005,18.00,18.00,17.25,17.30,17.440860215053763440,1116,11,19464.00,1116,100.00,0.75,-0.70
18-November-2005,17.00,17.85,16.65,17.85,17.578561202576950608,5588,17,98229.00,5588,100.00,1.20,0.85
17-November-2005,17.40,17.40,17.00,17.00,17.108695652173913043,230,5,3935.00,230,100.00,0.40,-0.40
16-November-2005,17.40,17.40,17.00,17.40,17.357927786499215070,4459,14,77399.00,4459,100.00,0.40,0.00
14-November-2005,16.85,17.40,16.75,17.00,16.927010692701069270,2151,13,36410.00,2151,100.00,0.65,0.15
11-November-2005,17.10,17.50,16.75,17.50,16.990825688073394495,2180,14,37040.00,2180,100.00,0.75,0.40
10-November-2005,17.45,17.45,17.45,17.45,17.450000000000000000,180,4,3141.00,180,100.00,0.00,0.00
9-November-2005,17.70,17.70,16.85,16.85,17.092338914256722475,1971,11,33689.00,1971,100.00,0.85,-0.85
8-November-2005,17.05,17.55,17.00,17.00,17.213902495917891299,4287,22,73796.00,4287,100.00,0.55,-0.05
7-November-2005,17.00,17.10,16.50,17.05,16.709860935524652338,3164,33,52870.00,3164,100.00,0.60,0.05
2-November-2005,16.15,16.75,16.10,16.30,16.306059265811587793,2261,29,36868.00,2261,100.00,0.65,0.15
1-November-2005,16.90,16.90,16.85,16.85,16.892156862745098039,102,2,1723.00,102,100.00,0.05,-0.05
31-October-2005,16.50,16.55,15.90,16.30,16.352915129151291512,6775,14,110791.00,6775,100.00,0.65,-0.20
28-October-2005,16.25,16.25,15.65,15.85,15.975455820476858345,1426,18,22781.00,1426,100.00,0.60,-0.40
27-October-2005,15.50,16.90,15.50,16.05,15.983589329021827000,12370,26,197717.00,12370,100.00,1.40,0.55
26-October-2005,16.95,16.95,15.45,16.25,15.902150244964616222,7348,50,116849.00,7348,100.00,1.50,-0.70
25-October-2005,16.55,16.90,16.20,16.25,16.324200913242009132,5037,50,82225.00,5037,100.00,0.70,-0.30
24-October-2005,17.15,17.65,16.20,17.00,17.113285883748517200,1686,18,28853.00,1686,100.00,1.45,-0.15
21-October-2005,16.50,17.20,16.35,16.95,16.527927085767702734,4279,41,70723.00,4279,100.00,0.85,0.45
20-October-2005,17.45,17.45,17.15,17.20,17.210853784998271690,2893,33,49791.00,2893,100.00,0.30,-0.25
19-October-2005,17.85,18.10,17.20,18.05,17.524091919940696812,2698,48,47280.00,2698,100.00,0.90,0.20
18-October-2005,18.30,18.65,17.65,17.80,17.909535452322738386,4499,33,80575.00,4499,100.00,1.00,-0.50
17-October-2005,18.55,18.90,18.55,18.55,18.613824884792626728,1085,4,20196.00,1085,100.00,0.35,0.00
14-October-2005,19.00,19.05,18.60,18.70,18.899237472766884531,1836,14,34699.00,1836,100.00,0.45,-0.30
13-October-2005,19.45,19.65,19.05,19.05,19.303463203463203463,2310,15,44591.00,2310,100.00,0.60,-0.40
